title,author,isbn,category,totalCopies,availableCopies,publishedYear
A Couple of April Fools,Gregory Maguire,0060760826,Juvenile Fiction,100,100,2005
What Christians Believe,C. S. Lewis,0060761539,Religion,100,100,2005
Psyche in a Dress,Francesca Lia Block,0060763728,Juvenile Fiction,100,100,2006
YOU: The Owner's Manual,Michael F Roizen;Mehmet C Oz,0060765313,Health & Fitness,100,100,2005
The Chronicles of Narnia Movie Tie-in Edition (adult),C. S. Lewis,0060765453,Fiction,100,100,2005
"The Lion, the Witch and the Wardrobe Movie Tie-in Edition (rack)",C. S. Lewis,0060765488,Juvenile Fiction,100,100,2005
"The Nightmare Room, Books 1-2-3: The Nightmare Begins!",R.L. Stine,0060766743,Juvenile Fiction,100,100,2005
A Quick Bite,Lynsay Sands,0060773758,Fiction,100,100,2005
Goodnight Moon 60th Anniversary Edition,Margaret Wise Brown,0060775858,Juvenile Fiction,100,100,2005
Brave New World and Brave New World Revisited,Aldous Huxley,0060776099,Fiction,100,100,2005
The Final Solution,Michael Chabon,0060777109,Fiction,100,100,2005
The Cat's Pajamas,Ray Bradbury,0060777338,Fiction,100,100,2005
Holy Skirts,Rene Steinke,0060778016,Fiction,100,100,2005
Time For Kids: Butterflies!,Editors of TIME For Kids,0060782137,Juvenile Nonfiction,100,100,2006
A False Mirror,Charles Todd,0060786736,Fiction,100,100,2007
Cracks in My Foundation,Marian Keyes,0060787031,Fiction,100,100,2005
A Fistful of Charms,Kim Harrison,0060788194,Fiction,100,100,2006
For a Few Demons More,Kim Harrison,0060788380,Fiction,100,100,2007
Mysteries of Pittsburgh,Michael Chabon,0060790598,Fiction,100,100,2005
Everything Is Illuminated tie-in,Jonathan Safran Foer,0060792175,Fiction,100,100,2005
Flight of the Nighthawks,Raymond E. Feist,0060792787,Fiction,100,100,2006
Into a Dark Realm,Raymond E. Feist,0060792809,Fiction,100,100,2007
The 3-Hour Diet (TM) On the Go (Collins Gem),Jorge Cruise,0060793198,Health & Fitness,100,100,2005
The Best American Crime Writing 2006,Mark Bowden;Otto Penzler;Thomas H. Cook,0060815523,True Crime,100,100,2006
Last of the Wilds,Trudi Canavan,0060815914,Fiction,100,100,2006
Voice of the Gods,Trudi Canavan,0060815922,Fiction,100,100,2007
Missing Mom,Joyce Carol Oates,0060816228,Fiction,100,100,2006
"The Collected Letters of C.S. Lewis, Volume 3",C. S. Lewis,0060819227,Biography & Autobiography,100,100,2004
Touch Not the Cat,Mary Stewart,0060823720,Fiction,100,100,2005
